Step,CONST1,CONST0,NXOR,XOR,OR,CIMPL,PROJX1,IMPL,PROJX2,AND,NAND,NOTX2,NIMPL,NOTX1,NCIMPL,NOR
53,0.9948,1,0.4567,0.526,0.9032,0.8684,0.898,0.5759,0.9639,0.9069,0.6061,0.8849,0.7287,0.6259,0.8975,0.8509
54,0.9959,0.9997,0.4562,0.5304,0.9073,0.8703,0.9028,0.5707,0.9626,0.91,0.6133,0.8875,0.7222,0.6334,0.903,0.8653
55,0.9954,0.9999,0.4593,0.5234,0.9081,0.8763,0.9049,0.5733,0.9621,0.9066,0.6114,0.89,0.7328,0.6337,0.9026,0.8669
56,0.9969,0.9999,0.4571,0.5266,0.9083,0.8766,0.9069,0.5736,0.9634,0.9141,0.5959,0.8901,0.7417,0.6337,0.9149,0.8729
57,0.9957,0.9999,0.4595,0.5279,0.9061,0.8837,0.9163,0.5579,0.9625,0.9155,0.6058,0.8993,0.7496,0.6374,0.9158,0.8792
58,0.9959,1,0.4488,0.5248,0.9074,0.8852,0.9247,0.5684,0.9635,0.9195,0.5924,0.9016,0.7512,0.6373,0.9178,0.8777
59,0.996,1,0.4554,0.5277,0.9104,0.8854,0.9299,0.5684,0.9607,0.9201,0.6028,0.9001,0.7576,0.6389,0.923,0.8877
60,0.9961,0.9999,0.4529,0.5162,0.9125,0.8935,0.9349,0.5637,0.9639,0.9229,0.6029,0.9011,0.764,0.6387,0.9253,0.891
61,0.9953,1,0.4449,0.5265,0.913,0.8977,0.9389,0.5615,0.9636,0.9222,0.5929,0.9082,0.7679,0.6474,0.9259,0.8886
62,0.9961,1,0.4509,0.5253,0.9146,0.9029,0.941,0.5631,0.9667,0.9264,0.6075,0.9103,0.7806,0.6425,0.9343,0.89
63,0.9959,1,0.4441,0.5255,0.9193,0.9031,0.9429,0.5631,0.9635,0.931,0.6043,0.9093,0.7822,0.6495,0.9383,0.9009
64,0.9959,1,0.4503,0.5132,0.9183,0.9078,0.9497,0.5646,0.9627,0.9285,0.5973,0.9059,0.7924,0.6436,0.9402,0.8986
65,0.9966,1,0.4567,0.5052,0.915,0.9035,0.9561,0.567,0.9633,0.9303,0.6006,0.915,0.7904,0.6486,0.9443,0.9073
66,0.9965,1,0.4547,0.5238,0.9143,0.905,0.9552,0.5636,0.9604,0.9352,0.5984,0.9129,0.7972,0.6493,0.9473,0.906
67,0.9962,0.9999,0.4446,0.5107,0.9189,0.9127,0.9607,0.5673,0.9615,0.9351,0.6013,0.9093,0.8126,0.6557,0.9503,0.9131
68,0.9968,1,0.4522,0.5221,0.9165,0.9115,0.9596,0.5683,0.9637,0.9378,0.5978,0.9105,0.8112,0.6506,0.9522,0.9117
69,0.9966,0.9999,0.4519,0.5168,0.9158,0.9118,0.966,0.5643,0.9611,0.9428,0.5978,0.9142,0.8195,0.6552,0.9518,0.912
70,0.9956,1,0.4512,0.5157,0.9196,0.9176,0.9673,0.566,0.9602,0.9436,0.6059,0.9105,0.8199,0.6588,0.9566,0.9138
71,0.9962,1,0.4493,0.5176,0.9193,0.918,0.9704,0.564,0.9626,0.9398,0.6047,0.9098,0.8318,0.6615,0.9562,0.9168
72,0.996,1,0.4418,0.5125,0.9221,0.9212,0.9726,0.5588,0.9642,0.9428,0.602,0.9149,0.8361,0.6676,0.9591,0.9173
73,0.9969,0.9999,0.4387,0.4999,0.917,0.9224,0.9764,0.5526,0.9608,0.9441,0.6063,0.9151,0.8452,0.6579,0.9618,0.9194
74,0.9957,0.9999,0.4465,0.5106,0.9242,0.9236,0.9759,0.5639,0.9639,0.947,0.5994,0.9146,0.8472,0.6629,0.9673,0.9215
75,0.9968,1,0.446,0.5027,0.927,0.9283,0.9784,0.5586,0.9607,0.9478,0.6,0.9163,0.8473,0.6606,0.9654,0.9222
76,0.9967,1,0.4448,0.5132,0.9236,0.9257,0.9808,0.5645,0.9628,0.944,0.5989,0.9159,0.862,0.672,0.9686,0.9253
77,0.996,1,0.4503,0.5073,0.9228,0.9264,0.9808,0.5615,0.9588,0.9475,0.607,0.9192,0.8708,0.6581,0.9673,0.9266
78,0.9964,0.9999,0.4454,0.4907,0.9264,0.9237,0.983,0.5579,0.961,0.9482,0.6018,0.9148,0.8735,0.6742,0.971,0.9247
79,0.9956,1,0.441,0.4945,0.9235,0.9233,0.9837,0.5595,0.9617,0.9508,0.6107,0.9134,0.8761,0.6672,0.9706,0.9262
80,0.9963,1,0.4392,0.5074,0.9227,0.9304,0.987,0.5528,0.9614,0.9522,0.6076,0.9185,0.8791,0.673,0.973,0.9272
81,0.9969,1,0.4372,0.4975,0.9242,0.9294,0.9883,0.552,0.9631,0.9489,0.6082,0.9186,0.8836,0.676,0.9728,0.9278
82,0.9968,1,0.4359,0.5086,0.9254,0.9256,0.9898,0.5622,0.9592,0.9515,0.6147,0.9179,0.889,0.6754,0.9753,0.9257
83,0.996,1,0.4454,0.491,0.9306,0.9292,0.9915,0.561,0.962,0.9507,0.6181,0.9232,0.8965,0.6823,0.9753,0.9303
84,0.9967,1,0.4316,0.5017,0.9207,0.9328,0.9905,0.5619,0.9628,0.952,0.612,0.9155,0.8997,0.6748,0.9762,0.9284
85,0.9965,1,0.439,0.4896,0.9215,0.9305,0.9921,0.5603,0.9597,0.9555,0.6126,0.9165,0.9059,0.6766,0.9784,0.9291
86,0.9962,0.9999,0.4325,0.4944,0.9234,0.9346,0.9918,0.5679,0.9628,0.9553,0.6104,0.9127,0.9081,0.6835,0.9779,0.9282
87,0.9963,0.9998,0.4239,0.4926,0.9271,0.933,0.9917,0.5677,0.9606,0.9542,0.6183,0.9186,0.9152,0.689,0.9792,0.9332
88,0.9961,1,0.4326,0.4893,0.9264,0.9273,0.993,0.5613,0.9614,0.9579,0.6217,0.9136,0.918,0.692,0.9802,0.9346
